Summary Statistic,mean,median,lower,upper
AM_to_RS,2020.8709,2020.8911,2020.7947,2020.9119
AM_to_RO,2020.9898,2020.9862,2020.9495,2021.0458
AM_to_RN,2020.9293,2020.9328,2020.8988,2020.9641
AM_to_RJ,2020.9039,2020.9146,2020.8144,2020.9543
AM_to_PR,2020.8177,2020.81,2020.7855,2020.9468
AM_to_PB,2020.9805,2020.9716,2020.9147,2021.0629
AM_to_MG,2020.9578,2020.9576,2020.8727,2021.0523
AM_to_MA,2020.9242,2020.9286,2020.8874,2020.9642
AM_to_BA,2020.9151,2020.9213,2020.8685,2020.9498
AM_to_AP,2020.9543,2020.9548,2020.9141,2020.993
AM_to_GO,2020.905,2020.9104,2020.8602,2020.94
AM_to_SC,2020.937,2020.9454,2020.8843,2020.9774
AM_to_SP,2020.8363,2020.8383,2020.7764,2020.8959