data_type,median_sampling_date,week,location,n_positive,n_sampled
random_sample,27/05/2020,27/05/2020,manaus,0,2
random_sample,05/11/2020,02/11/2020,manaus,0,9
random_sample,11/11/2020,09/11/2020,manaus,0,2
random_sample,16/11/2020,16/11/2020,manaus,0,4
random_sample,04/12/2020,30/11/2020,manaus,1,2
random_sample,09/12/2020,07/12/2020,manaus,1,7
random_sample,18/12/2020,14/12/2020,manaus,7,24
random_sample,23/12/2020,21/12/2020,manaus,20,37
random_sample,28/12/2020,28/12/2020,manaus,8,14
random_sample,04/01/2021,04/01/2021,manaus,40,46
random_sample,NA,30/11/2020,porto alegre,0,8
random_sample,NA,07/12/2020,porto alegre,0,10
random_sample,NA,14/12/2020,porto alegre,0,8
random_sample,NA,21/12/2020,porto alegre,0,8
random_sample,NA,28/12/2020,porto alegre,0,10
random_sample,NA,04/01/2021,porto alegre,0,14
random_sample,NA,11/01/2021,porto alegre,0,6
random_sample,NA,18/01/2021,porto alegre,0,10
random_sample,NA,25/01/2021,porto alegre,4,16
random_sample,NA,01/02/2021,porto alegre,7,20
random_sample,NA,08/02/2021,porto alegre,11,21
random_sample,NA,15/02/2021,porto alegre,11,20
random_sample,NA,22/02/2021,porto alegre,14,21
random_sample,NA,01/03/2021,porto alegre,16,20
random_sample,NA,08/03/2021,porto alegre,17,19
random_sample,NA,15/03/2021,porto alegre,15,17
random_sample,NA,22/03/2021,porto alegre,14,17
random_sample,NA,29/03/2021,porto alegre,10,10
random_sample,NA,06/01/2021,belo horizonte,0,2
random_sample,NA,13/01/2021,belo horizonte,0,1
random_sample,NA,20/01/2021,belo horizonte,0,2
random_sample,NA,27/01/2021,belo horizonte,0,3
random_sample,NA,03/02/2021,belo horizonte,0,1
random_sample,NA,10/02/2021,belo horizonte,0,3
random_sample,NA,17/02/2021,belo horizonte,0,1
random_sample,NA,24/02/2021,belo horizonte,11,37
random_sample,NA,03/03/2021,belo horizonte,16,24
random_sample,NA,10/03/2021,belo horizonte,3,4
GISAID_alfonso_lutz,NA,01/11/2020,sao paulo city,0,1
GISAID_alfonso_lutz,NA,22/11/2020,sao paulo city,0,1
GISAID_alfonso_lutz,NA,20/12/2020,sao paulo city,0,4
GISAID_alfonso_lutz,NA,27/12/2020,sao paulo city,0,2
GISAID_alfonso_lutz,NA,03/01/2021,sao paulo city,1,3
GISAID_alfonso_lutz,NA,10/01/2021,sao paulo city,5,7
GISAID_alfonso_lutz,NA,17/01/2021,sao paulo city,2,7
GISAID_alfonso_lutz,NA,24/01/2021,sao paulo city,1,3
GISAID_alfonso_lutz,NA,31/01/2021,sao paulo city,0,1
GISAID_alfonso_lutz,NA,07/02/2021,sao paulo city,1,2
GISAID_alfonso_lutz,NA,14/02/2021,sao paulo city,10,14
GISAID_alfonso_lutz,NA,21/02/2021,sao paulo city,9,10
GISAID_alfonso_lutz,NA,28/02/2021,sao paulo city,5,5
GISAID_alfonso_lutz,NA,07/03/2021,sao paulo city,6,6
GISAID_alfonso_lutz,NA,14/03/2021,sao paulo city,2,2
GISAID_alfonso_lutz,NA,21/03/2021,sao paulo city,6,7
GISAID_alfonso_lutz,NA,28/03/2021,sao paulo city,1,1
genomica_fiocruz,NA,02/11/2020,acre,0,0
genomica_fiocruz,NA,09/11/2020,acre,0,0
genomica_fiocruz,NA,16/11/2020,acre,0,0
genomica_fiocruz,NA,23/11/2020,acre,0,0
genomica_fiocruz,NA,30/11/2020,acre,0,1
genomica_fiocruz,NA,02/11/2020,amazonas,0,8
genomica_fiocruz,NA,09/11/2020,amazonas,0,8
genomica_fiocruz,NA,16/11/2020,amazonas,0,9
genomica_fiocruz,NA,23/11/2020,amazonas,0,9
genomica_fiocruz,NA,30/11/2020,amazonas,0,9
genomica_fiocruz,NA,02/11/2020,amapa,0,1
genomica_fiocruz,NA,09/11/2020,amapa,0,1
genomica_fiocruz,NA,16/11/2020,amapa,0,1
genomica_fiocruz,NA,23/11/2020,amapa,0,1
genomica_fiocruz,NA,30/11/2020,amapa,0,1
genomica_fiocruz,NA,02/11/2020,parana,0,3
genomica_fiocruz,NA,09/11/2020,parana,0,3
genomica_fiocruz,NA,16/11/2020,parana,0,3
genomica_fiocruz,NA,23/11/2020,parana,0,3
genomica_fiocruz,NA,30/11/2020,parana,0,4
genomica_fiocruz,NA,02/11/2020,rondonia,0,0
genomica_fiocruz,NA,09/11/2020,rondonia,0,0
genomica_fiocruz,NA,16/11/2020,rondonia,0,0
genomica_fiocruz,NA,23/11/2020,rondonia,0,0
genomica_fiocruz,NA,30/11/2020,rondonia,0,0
genomica_fiocruz,NA,02/11/2020,roraima,0,0
genomica_fiocruz,NA,09/11/2020,roraima,0,0
genomica_fiocruz,NA,16/11/2020,roraima,0,0
genomica_fiocruz,NA,23/11/2020,roraima,0,0
genomica_fiocruz,NA,30/11/2020,roraima,0,1
genomica_fiocruz,NA,02/11/2020,tocantins,0,0
genomica_fiocruz,NA,09/11/2020,tocantins,0,0
genomica_fiocruz,NA,16/11/2020,tocantins,0,0
genomica_fiocruz,NA,23/11/2020,tocantins,0,0
genomica_fiocruz,NA,30/11/2020,tocantins,0,0
genomica_fiocruz,NA,02/11/2020,alagoas,0,1
genomica_fiocruz,NA,09/11/2020,alagoas,0,1
genomica_fiocruz,NA,16/11/2020,alagoas,0,1
genomica_fiocruz,NA,23/11/2020,alagoas,0,1
genomica_fiocruz,NA,30/11/2020,alagoas,0,2
genomica_fiocruz,NA,02/11/2020,bahia,0,1
genomica_fiocruz,NA,09/11/2020,bahia,0,1
genomica_fiocruz,NA,16/11/2020,bahia,0,2
genomica_fiocruz,NA,23/11/2020,bahia,0,2
genomica_fiocruz,NA,30/11/2020,bahia,0,2
genomica_fiocruz,NA,02/11/2020,ceara,0,0
genomica_fiocruz,NA,09/11/2020,ceara,0,0
genomica_fiocruz,NA,16/11/2020,ceara,0,0
genomica_fiocruz,NA,23/11/2020,ceara,0,0
genomica_fiocruz,NA,30/11/2020,ceara,0,0
genomica_fiocruz,NA,02/11/2020,maranhao,0,1
genomica_fiocruz,NA,09/11/2020,maranhao,0,1
genomica_fiocruz,NA,16/11/2020,maranhao,0,1
genomica_fiocruz,NA,23/11/2020,maranhao,0,1
genomica_fiocruz,NA,30/11/2020,maranhao,0,1
genomica_fiocruz,NA,02/11/2020,paraiba,0,5
genomica_fiocruz,NA,09/11/2020,paraiba,0,5
genomica_fiocruz,NA,16/11/2020,paraiba,0,6
genomica_fiocruz,NA,23/11/2020,paraiba,0,6
genomica_fiocruz,NA,30/11/2020,paraiba,0,6
genomica_fiocruz,NA,02/11/2020,pernambuco,0,0
genomica_fiocruz,NA,09/11/2020,pernambuco,0,0
genomica_fiocruz,NA,16/11/2020,pernambuco,0,0
genomica_fiocruz,NA,23/11/2020,pernambuco,0,0
genomica_fiocruz,NA,30/11/2020,pernambuco,0,1
genomica_fiocruz,NA,02/11/2020,piaui,0,0
genomica_fiocruz,NA,09/11/2020,piaui,0,1
genomica_fiocruz,NA,16/11/2020,piaui,0,1
genomica_fiocruz,NA,23/11/2020,piaui,0,1
genomica_fiocruz,NA,30/11/2020,piaui,0,1
genomica_fiocruz,NA,02/11/2020,rio grande do norte,0,2
genomica_fiocruz,NA,09/11/2020,rio grande do norte,0,3
genomica_fiocruz,NA,16/11/2020,rio grande do norte,0,3
genomica_fiocruz,NA,23/11/2020,rio grande do norte,0,3
genomica_fiocruz,NA,30/11/2020,rio grande do norte,0,3
genomica_fiocruz,NA,02/11/2020,sergipe,0,0
genomica_fiocruz,NA,09/11/2020,sergipe,0,0
genomica_fiocruz,NA,16/11/2020,sergipe,0,0
genomica_fiocruz,NA,23/11/2020,sergipe,0,0
genomica_fiocruz,NA,30/11/2020,sergipe,0,0
genomica_fiocruz,NA,02/11/2020,distrito federal,0,0
genomica_fiocruz,NA,09/11/2020,distrito federal,0,1
genomica_fiocruz,NA,16/11/2020,distrito federal,0,1
genomica_fiocruz,NA,23/11/2020,distrito federal,0,1
genomica_fiocruz,NA,30/11/2020,distrito federal,0,1
genomica_fiocruz,NA,02/11/2020,goias,0,0
genomica_fiocruz,NA,09/11/2020,goias,0,0
genomica_fiocruz,NA,16/11/2020,goias,0,0
genomica_fiocruz,NA,23/11/2020,goias,0,0
genomica_fiocruz,NA,30/11/2020,goias,0,0
genomica_fiocruz,NA,02/11/2020,mato grosso do sul,0,0
genomica_fiocruz,NA,09/11/2020,mato grosso do sul,0,0
genomica_fiocruz,NA,16/11/2020,mato grosso do sul,0,0
genomica_fiocruz,NA,23/11/2020,mato grosso do sul,0,0
genomica_fiocruz,NA,30/11/2020,mato grosso do sul,0,1
genomica_fiocruz,NA,02/11/2020,mato grosso,0,0
genomica_fiocruz,NA,09/11/2020,mato grosso,0,0
genomica_fiocruz,NA,16/11/2020,mato grosso,0,0
genomica_fiocruz,NA,23/11/2020,mato grosso,0,0
genomica_fiocruz,NA,30/11/2020,mato grosso,0,1
genomica_fiocruz,NA,02/11/2020,espirito santo,0,1
genomica_fiocruz,NA,09/11/2020,espirito santo,0,2
genomica_fiocruz,NA,16/11/2020,espirito santo,0,2
genomica_fiocruz,NA,23/11/2020,espirito santo,0,2
genomica_fiocruz,NA,30/11/2020,espirito santo,0,2
genomica_fiocruz,NA,02/11/2020,minas gerais,0,3
genomica_fiocruz,NA,09/11/2020,minas gerais,0,4
genomica_fiocruz,NA,16/11/2020,minas gerais,0,4
genomica_fiocruz,NA,23/11/2020,minas gerais,0,4
genomica_fiocruz,NA,30/11/2020,minas gerais,0,4
genomica_fiocruz,NA,02/11/2020,rio de janeiro,0,11
genomica_fiocruz,NA,09/11/2020,rio de janeiro,0,11
genomica_fiocruz,NA,16/11/2020,rio de janeiro,0,11
genomica_fiocruz,NA,23/11/2020,rio de janeiro,0,11
genomica_fiocruz,NA,30/11/2020,rio de janeiro,0,12
genomica_fiocruz,NA,02/11/2020,sau paulo state,0,19
genomica_fiocruz,NA,09/11/2020,sau paulo state,0,19
genomica_fiocruz,NA,16/11/2020,sau paulo state,0,19
genomica_fiocruz,NA,23/11/2020,sau paulo state,0,19
genomica_fiocruz,NA,30/11/2020,sau paulo state,0,20
genomica_fiocruz,NA,02/11/2020,parana,0,6
genomica_fiocruz,NA,09/11/2020,parana,0,6
genomica_fiocruz,NA,16/11/2020,parana,0,6
genomica_fiocruz,NA,23/11/2020,parana,0,7
genomica_fiocruz,NA,30/11/2020,parana,0,7
genomica_fiocruz,NA,02/11/2020,rio grande do sul,0,35
genomica_fiocruz,NA,09/11/2020,rio grande do sul,0,36
genomica_fiocruz,NA,16/11/2020,rio grande do sul,0,36
genomica_fiocruz,NA,23/11/2020,rio grande do sul,1,36
genomica_fiocruz,NA,30/11/2020,rio grande do sul,1,36
genomica_fiocruz,NA,02/11/2020,santa catarina,0,0
genomica_fiocruz,NA,09/11/2020,santa catarina,0,0
genomica_fiocruz,NA,16/11/2020,santa catarina,0,1
genomica_fiocruz,NA,23/11/2020,santa catarina,0,1
genomica_fiocruz,NA,30/11/2020,santa catarina,0,1
genomica_fiocruz,NA,07/12/2020,acre,0,0
genomica_fiocruz,NA,14/12/2020,acre,0,0
genomica_fiocruz,NA,21/12/2020,acre,0,0
genomica_fiocruz,NA,28/12/2020,acre,0,0
genomica_fiocruz,NA,07/12/2020,amazonas,22,56
genomica_fiocruz,NA,14/12/2020,amazonas,22,56
genomica_fiocruz,NA,21/12/2020,amazonas,22,56
genomica_fiocruz,NA,28/12/2020,amazonas,23,57
genomica_fiocruz,NA,07/12/2020,amapa,0,4
genomica_fiocruz,NA,14/12/2020,amapa,0,4
genomica_fiocruz,NA,21/12/2020,amapa,0,4
genomica_fiocruz,NA,28/12/2020,amapa,0,5
genomica_fiocruz,NA,07/12/2020,parana,0,5
genomica_fiocruz,NA,14/12/2020,parana,0,5
genomica_fiocruz,NA,21/12/2020,parana,0,5
genomica_fiocruz,NA,28/12/2020,parana,0,5
genomica_fiocruz,NA,07/12/2020,rondonia,0,0
genomica_fiocruz,NA,14/12/2020,rondonia,0,0
genomica_fiocruz,NA,21/12/2020,rondonia,0,0
genomica_fiocruz,NA,28/12/2020,rondonia,0,0
genomica_fiocruz,NA,07/12/2020,roraima,0,0
genomica_fiocruz,NA,14/12/2020,roraima,0,0
genomica_fiocruz,NA,21/12/2020,roraima,0,0
genomica_fiocruz,NA,28/12/2020,roraima,0,0
genomica_fiocruz,NA,07/12/2020,tocantins,0,0
genomica_fiocruz,NA,14/12/2020,tocantins,0,0
genomica_fiocruz,NA,21/12/2020,tocantins,0,0
genomica_fiocruz,NA,28/12/2020,tocantins,0,1
genomica_fiocruz,NA,07/12/2020,alagoas,0,3
genomica_fiocruz,NA,14/12/2020,alagoas,0,3
genomica_fiocruz,NA,21/12/2020,alagoas,0,3
genomica_fiocruz,NA,28/12/2020,alagoas,0,3
genomica_fiocruz,NA,07/12/2020,bahia,1,3
genomica_fiocruz,NA,14/12/2020,bahia,1,4
genomica_fiocruz,NA,21/12/2020,bahia,1,4
genomica_fiocruz,NA,28/12/2020,bahia,2,4
genomica_fiocruz,NA,07/12/2020,ceara,0,0
genomica_fiocruz,NA,14/12/2020,ceara,0,1
genomica_fiocruz,NA,21/12/2020,ceara,0,1
genomica_fiocruz,NA,28/12/2020,ceara,0,1
genomica_fiocruz,NA,07/12/2020,maranhao,0,3
genomica_fiocruz,NA,14/12/2020,maranhao,0,3
genomica_fiocruz,NA,21/12/2020,maranhao,0,3
genomica_fiocruz,NA,28/12/2020,maranhao,0,4
genomica_fiocruz,NA,07/12/2020,paraiba,0,7
genomica_fiocruz,NA,14/12/2020,paraiba,0,8
genomica_fiocruz,NA,21/12/2020,paraiba,0,8
genomica_fiocruz,NA,28/12/2020,paraiba,0,8
genomica_fiocruz,NA,07/12/2020,pernambuco,0,1
genomica_fiocruz,NA,14/12/2020,pernambuco,0,1
genomica_fiocruz,NA,21/12/2020,pernambuco,0,1
genomica_fiocruz,NA,28/12/2020,pernambuco,0,1
genomica_fiocruz,NA,07/12/2020,piaui,0,0
genomica_fiocruz,NA,14/12/2020,piaui,0,0
genomica_fiocruz,NA,21/12/2020,piaui,0,0
genomica_fiocruz,NA,28/12/2020,piaui,0,0
genomica_fiocruz,NA,07/12/2020,rio grande do norte,0,5
genomica_fiocruz,NA,14/12/2020,rio grande do norte,0,5
genomica_fiocruz,NA,21/12/2020,rio grande do norte,0,5
genomica_fiocruz,NA,28/12/2020,rio grande do norte,0,5
genomica_fiocruz,NA,07/12/2020,sergipe,0,0
genomica_fiocruz,NA,14/12/2020,sergipe,0,0
genomica_fiocruz,NA,21/12/2020,sergipe,0,0
genomica_fiocruz,NA,28/12/2020,sergipe,0,0
genomica_fiocruz,NA,07/12/2020,distrito federal,0,0
genomica_fiocruz,NA,14/12/2020,distrito federal,0,1
genomica_fiocruz,NA,21/12/2020,distrito federal,0,1
genomica_fiocruz,NA,28/12/2020,distrito federal,0,1
genomica_fiocruz,NA,07/12/2020,goias,0,12
genomica_fiocruz,NA,14/12/2020,goias,0,12
genomica_fiocruz,NA,21/12/2020,goias,0,12
genomica_fiocruz,NA,28/12/2020,goias,0,13
genomica_fiocruz,NA,07/12/2020,mato grosso do sul,0,2
genomica_fiocruz,NA,14/12/2020,mato grosso do sul,0,3
genomica_fiocruz,NA,21/12/2020,mato grosso do sul,0,3
genomica_fiocruz,NA,28/12/2020,mato grosso do sul,0,3
genomica_fiocruz,NA,07/12/2020,mato grosso,0,2
genomica_fiocruz,NA,14/12/2020,mato grosso,0,2
genomica_fiocruz,NA,21/12/2020,mato grosso,0,2
genomica_fiocruz,NA,28/12/2020,mato grosso,0,2
genomica_fiocruz,NA,07/12/2020,espirito santo,0,3
genomica_fiocruz,NA,14/12/2020,espirito santo,0,3
genomica_fiocruz,NA,21/12/2020,espirito santo,0,4
genomica_fiocruz,NA,28/12/2020,espirito santo,0,4
genomica_fiocruz,NA,07/12/2020,minas gerais,0,8
genomica_fiocruz,NA,14/12/2020,minas gerais,0,8
genomica_fiocruz,NA,21/12/2020,minas gerais,0,8
genomica_fiocruz,NA,28/12/2020,minas gerais,0,8
genomica_fiocruz,NA,07/12/2020,rio de janeiro,0,6
genomica_fiocruz,NA,14/12/2020,rio de janeiro,0,6
genomica_fiocruz,NA,21/12/2020,rio de janeiro,0,7
genomica_fiocruz,NA,28/12/2020,rio de janeiro,0,7
genomica_fiocruz,NA,07/12/2020,sau paulo state,0,19
genomica_fiocruz,NA,14/12/2020,sau paulo state,0,19
genomica_fiocruz,NA,21/12/2020,sau paulo state,0,19
genomica_fiocruz,NA,28/12/2020,sau paulo state,0,19
genomica_fiocruz,NA,07/12/2020,parana,0,8
genomica_fiocruz,NA,14/12/2020,parana,0,9
genomica_fiocruz,NA,21/12/2020,parana,0,9
genomica_fiocruz,NA,28/12/2020,parana,0,9
genomica_fiocruz,NA,07/12/2020,rio grande do sul,0,7
genomica_fiocruz,NA,14/12/2020,rio grande do sul,0,7
genomica_fiocruz,NA,21/12/2020,rio grande do sul,0,8
genomica_fiocruz,NA,28/12/2020,rio grande do sul,0,8
genomica_fiocruz,NA,07/12/2020,santa catarina,0,0
genomica_fiocruz,NA,14/12/2020,santa catarina,0,0
genomica_fiocruz,NA,21/12/2020,santa catarina,0,1
genomica_fiocruz,NA,28/12/2020,santa catarina,0,1
genomica_fiocruz,NA,04/01/2021,acre,0,0
genomica_fiocruz,NA,11/01/2021,acre,0,0
genomica_fiocruz,NA,18/01/2021,acre,1,1
genomica_fiocruz,NA,25/01/2021,acre,1,1
genomica_fiocruz,NA,04/01/2021,amazonas,27,31
genomica_fiocruz,NA,11/01/2021,amazonas,27,31
genomica_fiocruz,NA,18/01/2021,amazonas,27,32
genomica_fiocruz,NA,25/01/2021,amazonas,27,32
genomica_fiocruz,NA,04/01/2021,amapa,1,6
genomica_fiocruz,NA,11/01/2021,amapa,1,6
genomica_fiocruz,NA,18/01/2021,amapa,1,7
genomica_fiocruz,NA,25/01/2021,amapa,2,7
genomica_fiocruz,NA,04/01/2021,parana,1,5
genomica_fiocruz,NA,11/01/2021,parana,1,6
genomica_fiocruz,NA,18/01/2021,parana,1,6
genomica_fiocruz,NA,25/01/2021,parana,2,6
genomica_fiocruz,NA,04/01/2021,rondonia,1,4
genomica_fiocruz,NA,11/01/2021,rondonia,1,5
genomica_fiocruz,NA,18/01/2021,rondonia,1,5
genomica_fiocruz,NA,25/01/2021,rondonia,1,5
genomica_fiocruz,NA,04/01/2021,roraima,3,3
genomica_fiocruz,NA,11/01/2021,roraima,3,3
genomica_fiocruz,NA,18/01/2021,roraima,3,3
genomica_fiocruz,NA,25/01/2021,roraima,3,4
genomica_fiocruz,NA,04/01/2021,tocantins,0,0
genomica_fiocruz,NA,11/01/2021,tocantins,0,0
genomica_fiocruz,NA,18/01/2021,tocantins,0,0
genomica_fiocruz,NA,25/01/2021,tocantins,1,1
genomica_fiocruz,NA,04/01/2021,alagoas,0,5
genomica_fiocruz,NA,11/01/2021,alagoas,1,6
genomica_fiocruz,NA,18/01/2021,alagoas,1,6
genomica_fiocruz,NA,25/01/2021,alagoas,1,6
genomica_fiocruz,NA,04/01/2021,bahia,3,19
genomica_fiocruz,NA,11/01/2021,bahia,3,19
genomica_fiocruz,NA,18/01/2021,bahia,3,20
genomica_fiocruz,NA,25/01/2021,bahia,4,20
genomica_fiocruz,NA,04/01/2021,ceara,0,5
genomica_fiocruz,NA,11/01/2021,ceara,0,5
genomica_fiocruz,NA,18/01/2021,ceara,1,5
genomica_fiocruz,NA,25/01/2021,ceara,1,5
genomica_fiocruz,NA,04/01/2021,maranhao,2,12
genomica_fiocruz,NA,11/01/2021,maranhao,2,12
genomica_fiocruz,NA,18/01/2021,maranhao,2,12
genomica_fiocruz,NA,25/01/2021,maranhao,2,13
genomica_fiocruz,NA,04/01/2021,paraiba,1,10
genomica_fiocruz,NA,11/01/2021,paraiba,1,10
genomica_fiocruz,NA,18/01/2021,paraiba,1,10
genomica_fiocruz,NA,25/01/2021,paraiba,2,11
genomica_fiocruz,NA,04/01/2021,pernambuco,0,2
genomica_fiocruz,NA,11/01/2021,pernambuco,0,2
genomica_fiocruz,NA,18/01/2021,pernambuco,0,3
genomica_fiocruz,NA,25/01/2021,pernambuco,0,3
genomica_fiocruz,NA,04/01/2021,piaui,0,0
genomica_fiocruz,NA,11/01/2021,piaui,0,0
genomica_fiocruz,NA,18/01/2021,piaui,0,0
genomica_fiocruz,NA,25/01/2021,piaui,0,1
genomica_fiocruz,NA,04/01/2021,rio grande do norte,3,10
genomica_fiocruz,NA,11/01/2021,rio grande do norte,3,11
genomica_fiocruz,NA,18/01/2021,rio grande do norte,3,11
genomica_fiocruz,NA,25/01/2021,rio grande do norte,3,11
genomica_fiocruz,NA,04/01/2021,sergipe,0,2
genomica_fiocruz,NA,11/01/2021,sergipe,0,3
genomica_fiocruz,NA,18/01/2021,sergipe,0,3
genomica_fiocruz,NA,25/01/2021,sergipe,1,3
genomica_fiocruz,NA,04/01/2021,distrito federal,0,0
genomica_fiocruz,NA,11/01/2021,distrito federal,0,0
genomica_fiocruz,NA,18/01/2021,distrito federal,0,1
genomica_fiocruz,NA,25/01/2021,distrito federal,0,1
genomica_fiocruz,NA,04/01/2021,goias,10,33
genomica_fiocruz,NA,11/01/2021,goias,10,33
genomica_fiocruz,NA,18/01/2021,goias,10,33
genomica_fiocruz,NA,25/01/2021,goias,10,34
genomica_fiocruz,NA,04/01/2021,mato grosso do sul,0,5
genomica_fiocruz,NA,11/01/2021,mato grosso do sul,0,5
genomica_fiocruz,NA,18/01/2021,mato grosso do sul,0,5
genomica_fiocruz,NA,25/01/2021,mato grosso do sul,0,5
genomica_fiocruz,NA,04/01/2021,mato grosso,0,1
genomica_fiocruz,NA,11/01/2021,mato grosso,0,1
genomica_fiocruz,NA,18/01/2021,mato grosso,0,1
genomica_fiocruz,NA,25/01/2021,mato grosso,0,1
genomica_fiocruz,NA,04/01/2021,espirito santo,0,3
genomica_fiocruz,NA,11/01/2021,espirito santo,0,4
genomica_fiocruz,NA,18/01/2021,espirito santo,0,4
genomica_fiocruz,NA,25/01/2021,espirito santo,1,4
genomica_fiocruz,NA,04/01/2021,minas gerais,0,9
genomica_fiocruz,NA,11/01/2021,minas gerais,0,9
genomica_fiocruz,NA,18/01/2021,minas gerais,0,9
genomica_fiocruz,NA,25/01/2021,minas gerais,0,10
genomica_fiocruz,NA,04/01/2021,rio de janeiro,0,18
genomica_fiocruz,NA,11/01/2021,rio de janeiro,1,18
genomica_fiocruz,NA,18/01/2021,rio de janeiro,1,18
genomica_fiocruz,NA,25/01/2021,rio de janeiro,1,18
genomica_fiocruz,NA,04/01/2021,sau paulo state,11,83
genomica_fiocruz,NA,11/01/2021,sau paulo state,11,83
genomica_fiocruz,NA,18/01/2021,sau paulo state,12,84
genomica_fiocruz,NA,25/01/2021,sau paulo state,12,84
genomica_fiocruz,NA,04/01/2021,parana,0,5
genomica_fiocruz,NA,11/01/2021,parana,1,5
genomica_fiocruz,NA,18/01/2021,parana,1,5
