Date,burials
2020-01-01,NA
2020-01-02,NA
2020-01-03,NA
2020-01-04,NA
2020-01-05,NA
2020-01-06,NA
2020-01-07,NA
2020-01-08,NA
2020-01-09,NA
2020-01-10,NA
2020-01-11,NA
2020-01-12,NA
2020-01-13,NA
2020-01-14,NA
2020-01-15,NA
2020-01-16,NA
2020-01-17,NA
2020-01-18,NA
2020-01-19,NA
2020-01-20,NA
2020-01-21,NA
2020-01-22,NA
2020-01-23,NA
2020-01-24,NA
2020-01-25,NA
2020-01-26,NA
2020-01-27,NA
2020-01-28,NA
2020-01-29,NA
2020-01-30,NA
2020-01-31,NA
2020-02-01,NA
2020-02-02,NA
2020-02-03,NA
2020-02-04,NA
2020-02-05,NA
2020-02-06,NA
2020-02-07,NA
2020-02-08,NA
2020-02-09,NA
2020-02-10,NA
2020-02-11,NA
2020-02-12,NA
2020-02-13,NA
2020-02-14,NA
2020-02-15,NA
2020-02-16,NA
2020-02-17,NA
2020-02-18,NA
2020-02-19,NA
2020-02-20,NA
2020-02-21,NA
2020-02-22,NA
2020-02-23,NA
2020-02-24,NA
2020-02-25,NA
2020-02-26,NA
2020-02-27,NA
2020-02-28,NA
2020-02-29,NA
2020-03-01,NA
2020-03-02,NA
2020-03-03,NA
2020-03-04,NA
2020-03-05,NA
2020-03-06,NA
2020-03-07,NA
2020-03-08,NA
2020-03-09,NA
2020-03-10,NA
2020-03-11,NA
2020-03-12,NA
2020-03-13,NA
2020-03-14,NA
2020-03-15,NA
2020-03-16,NA
2020-03-17,NA
2020-03-18,NA
2020-03-19,NA
2020-03-20,NA
2020-03-21,NA
2020-03-22,NA
2020-03-23,NA
2020-03-24,NA
2020-03-25,NA
2020-03-26,NA
2020-03-27,NA
2020-03-28,NA
2020-03-29,NA
2020-03-30,NA
2020-03-31,NA
2020-04-01,32
2020-04-02,43
2020-04-03,33
2020-04-04,42
2020-04-05,40
2020-04-06,34
2020-04-07,39
2020-04-08,70
2020-04-09,46
2020-04-10,52
2020-04-11,55
2020-04-12,73
2020-04-13,69
2020-04-14,67
2020-04-15,99
2020-04-16,85
2020-04-17,109
2020-04-18,99
2020-04-19,133
2020-04-20,118
2020-04-21,150
2020-04-22,132
2020-04-23,152
2020-04-24,153
2020-04-25,121
2020-04-26,167
2020-04-27,142
2020-04-28,160
2020-04-29,156
2020-04-30,138
2020-05-01,151
2020-05-02,118
2020-05-03,123
2020-05-04,119
2020-05-05,111
2020-05-06,92
2020-05-07,115
2020-05-08,112
2020-05-09,98
2020-05-10,63
2020-05-11,100
2020-05-12,83
2020-05-13,79
2020-05-14,70
2020-05-15,71
2020-05-16,59
2020-05-17,65
2020-05-18,53
2020-05-19,67
2020-05-20,73
2020-05-21,55
2020-05-22,60
2020-05-23,51
2020-05-24,44
2020-05-25,42
2020-05-26,49
2020-05-27,57
2020-05-28,52
2020-05-29,44
2020-05-30,38
2020-05-31,47
2020-06-01,43
2020-06-02,40
2020-06-03,43
2020-06-04,40
2020-06-05,49
2020-06-06,45
2020-06-07,31
2020-06-08,32
2020-06-09,40
2020-06-10,40
2020-06-11,50
2020-06-12,39
2020-06-13,38
2020-06-14,24
2020-06-15,45
2020-06-16,39
2020-06-17,41
2020-06-18,38
2020-06-19,32
2020-06-20,39
2020-06-21,28
2020-06-22,36
2020-06-23,35
2020-06-24,37
2020-06-25,29
2020-06-26,29
2020-06-27,25
2020-06-28,33
2020-06-29,38
2020-06-30,21
2020-07-01,43
2020-07-02,28
2020-07-03,32
2020-07-04,26
2020-07-05,27
2020-07-06,31
2020-07-07,39
2020-07-08,25
2020-07-09,25
2020-07-10,28
2020-07-11,44
2020-07-12,26
2020-07-13,25
2020-07-14,30
2020-07-15,41
2020-07-16,30
2020-07-17,31
2020-07-18,40
2020-07-19,35
2020-07-20,32
2020-07-21,41
2020-07-22,42
2020-07-23,28
2020-07-24,44
2020-07-25,40
2020-07-26,22
2020-07-27,29
2020-07-28,26
2020-07-29,37
2020-07-30,37
2020-07-31,27
2020-08-01,24
2020-08-02,23
2020-08-03,30
2020-08-04,41
2020-08-05,39
2020-08-06,33
2020-08-07,20
2020-08-08,25
2020-08-09,33
2020-08-10,30
2020-08-11,34
2020-08-12,30
2020-08-13,33
2020-08-14,34
2020-08-15,39
2020-08-16,26
2020-08-17,34
2020-08-18,32
2020-08-19,39
2020-08-20,35
2020-08-21,22
2020-08-22,31
2020-08-23,39
2020-08-24,27
2020-08-25,25
2020-08-26,41
2020-08-27,47
2020-08-28,42
2020-08-29,32
2020-08-30,26
2020-08-31,27
2020-09-01,32
2020-09-02,38
2020-09-03,33
2020-09-04,43
2020-09-05,29
2020-09-06,31
2020-09-07,46
2020-09-08,31
2020-09-09,42
2020-09-10,36
2020-09-11,37
2020-09-12,32
2020-09-13,26
2020-09-14,33
2020-09-15,36
2020-09-16,38
2020-09-17,38
2020-09-18,39
2020-09-19,27
2020-09-20,40
2020-09-21,47
2020-09-22,40
2020-09-23,35
2020-09-24,33
2020-09-25,33
2020-09-26,47
2020-09-27,25
2020-09-28,32
2020-09-29,29
2020-09-30,30
2020-10-01,45
2020-10-02,31
2020-10-03,46
2020-10-04,38
2020-10-05,44
2020-10-06,48
2020-10-07,30
2020-10-08,36
2020-10-09,36
2020-10-10,45
2020-10-11,35
2020-10-12,30
2020-10-13,36
2020-10-14,33
2020-10-15,39
2020-10-16,35
2020-10-17,49
2020-10-18,37
2020-10-19,23
2020-10-20,39
2020-10-21,39
2020-10-22,34
2020-10-23,36
2020-10-24,34
2020-10-25,23
2020-10-26,31
2020-10-27,36
2020-10-28,45
2020-10-29,45
2020-10-30,34
2020-10-31,37
2020-11-01,36
2020-11-02,39
2020-11-03,36
2020-11-04,33
2020-11-05,27
2020-11-06,38
2020-11-07,34
2020-11-08,25
2020-11-09,43
2020-11-10,26
2020-11-11,32
2020-11-12,28
2020-11-13,27
2020-11-14,37
2020-11-15,33
2020-11-16,28
2020-11-17,44
2020-11-18,41
2020-11-19,48
2020-11-20,29
2020-11-21,22
2020-11-22,40
2020-11-23,27
2020-11-24,32
2020-11-25,30
2020-11-26,39
2020-11-27,26
2020-11-28,31
2020-11-29,40
2020-11-30,40
2020-12-01,42
2020-12-02,33
2020-12-03,46
2020-12-04,43
2020-12-05,33
2020-12-06,31
2020-12-07,38
2020-12-08,34
2020-12-09,32
2020-12-10,39
2020-12-11,41
2020-12-12,29
2020-12-13,36
2020-12-14,39
2020-12-15,44
2020-12-16,39
2020-12-17,48
2020-12-18,45
2020-12-19,39
2020-12-20,47
2020-12-21,51
2020-12-22,39
2020-12-23,42
2020-12-24,57
2020-12-25,42
2020-12-26,35
2020-12-27,49
2020-12-28,52
2020-12-29,63
2020-12-30,59
2020-12-31,57
2021-01-01,58
2021-01-02,76
2021-01-03,72
2021-01-04,66
2021-01-05,91
2021-01-06,110
2021-01-07,112
2021-01-08,113
2021-01-09,130
2021-01-10,144
2021-01-11,150
2021-01-12,166
2021-01-13,198
2021-01-14,186
2021-01-15,213
2021-01-16,202
2021-01-17,184
2021-01-18,179
2021-01-19,177
2021-01-20,158
2021-01-21,179
2021-01-22,201
2021-01-23,194
2021-01-24,162
2021-01-25,141
2021-01-26,169
2021-01-27,171
2021-01-28,144
2021-01-29,174
2021-01-30,150
2021-01-31,143
2021-02-01,156
2021-02-02,155
2021-02-03,146
2021-02-04,127
2021-02-05,125
2021-02-06,146
2021-02-07,142
2021-02-08,89
2021-02-09,125
2021-02-10,115
2021-02-11,105
2021-02-12,129
2021-02-13,95
2021-02-14,104
2021-02-15,102
2021-02-16,106
2021-02-17,94
2021-02-18,82
2021-02-19,95
2021-02-20,97
2021-02-21,93
2021-02-22,82
2021-02-23,85
2021-02-24,87
2021-02-25,58
2021-02-26,73
2021-02-27,64
2021-02-28,72
2021-03-01,71
2021-03-02,58
2021-03-03,63
2021-03-04,46
2021-03-05,58
2021-03-06,50
2021-03-07,44
2021-03-08,55
2021-03-09,54
2021-03-10,49
2021-03-11,57
2021-03-12,46
2021-03-13,39
2021-03-14,42
2021-03-15,59
2021-03-16,47
2021-03-17,63
2021-03-18,47
2021-03-19,34
2021-03-20,52
2021-03-21,47
2021-03-22,47
2021-03-23,48
2021-03-24,40
2021-03-25,39
2021-03-26,43
2021-03-27,41
2021-03-28,44
2021-03-29,46
2021-03-30,40
2021-03-31,32
2021-04-01,38
2021-04-02,32
2021-04-03,43
2021-04-04,31
2021-04-05,32
2021-04-06,33
2021-04-07,48
2021-04-08,32
2021-04-09,53
2021-04-10,37
2021-04-11,38
2021-04-12,33
2021-04-13,55
2021-04-14,38
2021-04-15,39
2021-04-16,39
2021-04-17,33
2021-04-18,40
2021-04-19,34
2021-04-20,43
2021-04-21,42
2021-04-22,34
2021-04-23,38
2021-04-24,41
2021-04-25,36
2021-04-26,45
2021-04-27,43
2021-04-28,32
2021-04-29,34
2021-04-30,33
2021-05-01,28
2021-05-02,21
2021-05-03,46
2021-05-04,NA
2021-05-05,NA
2021-05-06,NA
2021-05-07,NA
2021-05-08,NA
2021-05-09,NA
2021-05-10,NA
2021-05-11,NA
2021-05-12,NA
2021-05-13,NA
2021-05-14,NA
2021-05-15,NA
2021-05-16,NA
2021-05-17,NA
2021-05-18,NA
2021-05-19,NA
2021-05-20,NA
2021-05-21,NA
2021-05-22,NA
2021-05-23,NA
2021-05-24,NA
2021-05-25,NA
2021-05-26,NA
2021-05-27,NA
2021-05-28,NA
2021-05-29,NA
2021-05-30,NA
2021-05-31,NA
2021-06-01,NA
2021-06-02,NA
2021-06-03,NA
2021-06-04,NA
2021-06-05,NA
2021-06-06,NA
2021-06-07,NA
2021-06-08,NA
2021-06-09,NA
2021-06-10,NA
2021-06-11,NA
2021-06-12,NA
2021-06-13,NA
2021-06-14,NA
2021-06-15,NA
2021-06-16,NA
2021-06-17,NA
2021-06-18,NA
2021-06-19,NA
2021-06-20,NA
